Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,clean_text,tokens,stemmed_tokens,polarity,predicted_sentiment
Just published a new blog post. Check it out!,Positive,2023-01-17 15:15:00,BloggerX,Instagram,#Blogging #NewPost,22.0,45.0,USA,2023,1,17,15,just published a new blog post check it out,"['published', 'new', 'blog', 'post', 'check', 'out']","['publish', 'new', 'blog', 'post', 'check', 'out']",0.13636363636363635,Positive
Feeling a bit under the weather today.,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,#SickDay #Health,7.0,15.0,Canada,2023,1,18,10,feeling a bit under the weather today,"['feeling', 'bit', 'under', 'weather', 'today']","['feel', 'bit', 'under', 'weather', 'today']",0.0,Neutral
Exploring the city's hidden gems.,Positive,2023-01-18 14:50:00,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12.0,25.0,UK,2023,1,18,14,exploring the city s hidden gems,"['exploring', 'city', 'hidden', 'gems']","['explor', 'citi', 'hidden', 'gem']",-0.16666666666666666,Negative
"New year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,FitJourney,Instagram,#NewYear #FitnessGoals,28.0,55.0,USA,2023,1,18,18,new year new fitness goals,"['new', 'year', 'new', 'fitness', 'goals']","['new', 'year', 'new', 'fit', 'goal']",0.13636363636363635,Positive
Technology is changing the way we live.,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,#Tech #Innovation,15.0,30.0,India,2023,1,19,9,technology is changing the way we live,"['technology', 'changing', 'way', 'live']","['technolog', 'chang', 'way', 'live']",0.13636363636363635,Positive
Reflecting on the past and looking ahead.,Positive,2023-01-19 13:20:00,Reflections,Facebook,#Reflection #Future,20.0,40.0,USA,2023,1,19,13,reflecting on the past and looking ahead,"['reflecting', 'past', 'looking', 'ahead']","['reflect', 'past', 'look', 'ahead']",-0.25,Negative
Just adopted a cute furry friend! 🐾,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,#PetAdoption #FurryFriend,15.0,30.0,Canada,2023,1,19,17,just adopted a cute furry friend,"['adopted', 'cute', 'furry', 'friend']","['adopt', 'cute', 'furri', 'friend']",0.5,Positive
Late-night gaming session with friends.,Positive,2023-01-20 00:05:00,GamerX,Twitter,#Gaming #LateNight,18.0,35.0,UK,2023,1,20,0,late night gaming session with friends,"['late', 'night', 'gaming', 'session', 'friends']","['late', 'night', 'game', 'session', 'friend']",-0.3,Negative
Attending a virtual conference on AI.,Neutral,2023-01-20 11:30:00,TechConference,Facebook,#AI #TechConference,25.0,50.0,USA,2023,1,20,11,attending a virtual conference on ai,"['attending', 'virtual', 'conference']","['attend', 'virtual', 'confer']",0.0,Neutral
Winter blues got me feeling low.,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,#WinterBlues #Mood,8.0,15.0,USA,2023,1,20,15,winter blues got me feeling low,"['winter', 'blues', 'got', 'feeling', 'low']","['winter', 'blue', 'got', 'feel', 'low']",0.0,Neutral
Sipping coffee and enjoying a good book.,Positive,2023-01-21 08:40:00,Bookworm,Twitter,#Reading #CoffeeTime,22.0,45.0,India,2023,1,21,8,sipping coffee and enjoying a good book,"['sipping', 'coffee', 'enjoying', 'good', 'book']","['sip', 'coffe', 'enjoy', 'good', 'book']",0.6,Positive
Exploring the world of virtual reality.,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,#VR #VirtualReality,15.0,30.0,USA,2023,1,21,13,exploring the world of virtual reality,"['exploring', 'world', 'virtual', 'reality']","['explor', 'world', 'virtual', 'realiti']",0.0,Neutral
Productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30.0,60.0,USA,2023,1,21,16,productive day ticking off my to do list,"['productive', 'day', 'ticking', 'off', 'list']","['product', 'day', 'tick', 'off', 'list']",0.0,Neutral
Just finished a challenging workout routine.,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20.0,40.0,UK,2023,1,22,9,just finished a challenging workout routine,"['finished', 'challenging', 'workout', 'routine']","['finish', 'challeng', 'workout', 'routin']",0.5,Positive
Celebrating a milestone at work! 🎉,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,#Career #Milestone,12.0,25.0,Canada,2023,1,22,14,celebrating a milestone at work,"['celebrating', 'milestone', 'work']","['celebr', 'mileston', 'work']",0.0,Neutral
Sunday brunch with friends.,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,#Brunch #Friends,15.0,30.0,UK,2023,1,22,12,sunday brunch with friends,"['sunday', 'brunch', 'friends']","['sunday', 'brunch', 'friend']",0.0,Neutral
Learning a new language for personal growth.,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25.0,50.0,India,2023,1,23,16,learning a new language for personal growth,"['learning', 'new', 'language', 'personal', 'growth']","['learn', 'new', 'languag', 'person', 'growth']",0.06818181818181818,Positive
Quiet evening with a good book.,Positive,2023-01-23 19:45:00,BookLover,Instagram,#Reading #QuietTime,15.0,30.0,Australia,2023,1,23,19,quiet evening with a good book,"['quiet', 'evening', 'good', 'book']","['quiet', 'even', 'good', 'book']",0.35,Positive
Reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22.0,45.0,USA,2023,1,24,11,reflecting on the importance of mental health,"['reflecting', 'importance', 'mental', 'health']","['reflect', 'import', 'mental', 'health']",-0.1,Negative
New painting in progress! 🎨,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12.0,25.0,Canada,2023,1,24,15,new painting in progress,"['new', 'painting', 'progress']","['new', 'paint', 'progress']",0.13636363636363635,Positive
Weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18.0,35.0,UK,2023,1,24,17,weekend road trip to explore scenic views,"['weekend', 'road', 'trip', 'explore', 'scenic', 'views']","['weekend', 'road', 'trip', 'explor', 'scenic', 'view']",0.0,Neutral
Enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15.0,30.0,India,2023,1,25,18,enjoying a cup of tea and watching the sunset,"['enjoying', 'cup', 'tea', 'watching', 'sunset']","['enjoy', 'cup', 'tea', 'watch', 'sunset']",0.5,Positive
Coding a new project with enthusiasm.,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30.0,60.0,USA,2023,1,25,13,coding a new project with enthusiasm,"['coding', 'new', 'project', 'enthusiasm']","['code', 'new', 'project', 'enthusiasm']",0.13636363636363635,Positive
Feeling inspired after attending a workshop.,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25.0,50.0,USA,2023,1,26,9,feeling inspired after attending a workshop,"['feeling', 'inspired', 'after', 'attending', 'workshop']","['feel', 'inspir', 'after', 'attend', 'workshop']",0.0,Neutral
Winter sports day at the local park.,Positive,2023-01-26 14:20:00,WinterSports,Twitter,#WinterSports #Fun,15.0,30.0,Canada,2023,1,26,14,winter sports day at the local park,"['winter', 'sports', 'day', 'local', 'park']","['winter', 'sport', 'day', 'local', 'park']",0.0,Neutral
Quality time with family this weekend.,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,#FamilyTime #Weekend,22.0,45.0,UK,2023,1,26,17,quality time with family this weekend,"['quality', 'time', 'family', 'weekend']","['qualiti', 'time', 'famili', 'weekend']",0.0,Neutral
Attending a live music concert tonight.,Positive,2023-01-27 20:00:00,MusicLover,Instagram,#Music #ConcertNight,18.0,35.0,USA,2023,1,27,20,attending a live music concert tonight,"['attending', 'live', 'music', 'concert', 'tonight']","['attend', 'live', 'music', 'concert', 'tonight']",0.13636363636363635,Positive
Practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15.0,30.0,India,2023,1,27,12,practicing mindfulness with meditation,"['practicing', 'mindfulness', 'meditation']","['practic', 'mind', 'medit']",0.0,Neutral
Trying out a new dessert recipe.,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,#Dessert #Cooking,12.0,25.0,Canada,2023,1,27,16,trying out a new dessert recipe,"['trying', 'out', 'new', 'dessert', 'recipe']","['tri', 'out', 'new', 'dessert', 'recip']",0.13636363636363635,Positive
Excited about the upcoming gaming tournament.,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30.0,60.0,USA,2023,1,28,9,excited about the upcoming gaming tournament,"['excited', 'about', 'upcoming', 'gaming', 'tournament']","['excit', 'about', 'upcom', 'game', 'tournament']",0.375,Positive
Planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,#Gardening #Spring,25.0,50.0,USA,2023,1,28,14,planning a garden makeover for spring,"['planning', 'garden', 'makeover', 'spring']","['plan', 'garden', 'makeov', 'spring']",0.0,Neutral
Celebrating a friend's birthday tonight! 🎂,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,#Birthday #Celebration,15.0,30.0,UK,2023,1,28,19,celebrating a friend s birthday tonight,"['celebrating', 'friend', 'birthday', 'tonight']","['celebr', 'friend', 'birthday', 'tonight']",0.0,Neutral
Feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,#Accomplished #Success,22.0,45.0,India,2023,1,29,17,feeling accomplished after a productive day,"['feeling', 'accomplished', 'after', 'productive', 'day']","['feel', 'accomplish', 'after', 'product', 'day']",0.2,Positive
A cozy evening with a good movie.,Positive,2023-01-29 20:20:00,MovieNight,Twitter,#CozyNight #MovieTime,18.0,35.0,Canada,2023,1,29,20,a cozy evening with a good movie,"['cozy', 'evening', 'good', 'movie']","['cozi', 'even', 'good', 'movi']",0.25,Positive
Exploring local art galleries this weekend.,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,#Art #GalleryExplore,15.0,30.0,USA,2023,1,30,11,exploring local art galleries this weekend,"['exploring', 'local', 'art', 'galleries', 'weekend']","['explor', 'local', 'art', 'galleri', 'weekend']",0.0,Neutral
New book release from my favorite author!,Positive,2023-01-30 15:45:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12.0,25.0,UK,2023,1,30,15,new book release from my favorite author,"['new', 'book', 'release', 'favorite', 'author']","['new', 'book', 'releas', 'favorit', 'author']",0.3181818181818182,Positive
Attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28.0,55.0,India,2023,1,30,18,attending a virtual reality meetup,"['attending', 'virtual', 'reality', 'meetup']","['attend', 'virtual', 'realiti', 'meetup']",0.0,Neutral
Reflecting on the beauty of nature.,Positive,2023-01-31 10:45:00,NatureLover,Facebook,#Nature #Reflection,15.0,30.0,Australia,2023,1,31,10,reflecting on the beauty of nature,"['reflecting', 'beauty', 'nature']","['reflect', 'beauti', 'natur']",0.0,Neutral
Cooking a special dinner for loved ones.,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20.0,40.0,USA,2023,1,31,19,cooking a special dinner for loved ones,"['cooking', 'special', 'dinner', 'loved', 'ones']","['cook', 'special', 'dinner', 'love', 'one']",0.5285714285714286,Positive
Feeling optimistic about the week ahead.,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15.0,30.0,Canada,2023,1,31,16,feeling optimistic about the week ahead,"['feeling', 'optimistic', 'about', 'week', 'ahead']","['feel', 'optimist', 'about', 'week', 'ahead']",0.0,Neutral
Starting a new fitness challenge tomorrow! 💪,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22.0,45.0,UK,2023,2,1,8,starting a new fitness challenge tomorrow,"['starting', 'new', 'fitness', 'challenge', 'tomorrow']","['start', 'new', 'fit', 'challeng', 'tomorrow']",0.06818181818181818,Positive
Sunday bike ride through scenic trails.,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18.0,35.0,USA,2023,2,1,13,sunday bike ride through scenic trails,"['sunday', 'bike', 'ride', 'through', 'scenic', 'trails']","['sunday', 'bike', 'ride', 'through', 'scenic', 'trail']",0.0,Neutral
Can't believe the injustice happening in our society.,Anger,2023-02-11 09:30:00,SocialJustice,Twitter,#Injustice #Angry,20.0,40.0,Canada,2023,2,11,9,can t believe the injustice happening in our society,"['can', 'believe', 'injustice', 'happening', 'society']","['can', 'believ', 'injustic', 'happen', 'societi']",0.0,Neutral
Feeling a sense of fear after watching a thriller movie.,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,#Fear #ThrillerMovie,15.0,30.0,USA,2023,2,11,21,feeling a sense of fear after watching a thriller movie,"['feeling', 'sense', 'fear', 'after', 'watching', 'thriller', 'movie']","['feel', 'sens', 'fear', 'after', 'watch', 'thriller', 'movi']",0.0,Neutral
Heartbroken after hearing the news about a natural disaster.,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25.0,50.0,India,2023,2,12,14,heartbroken after hearing the news about a natural disaster,"['heartbroken', 'after', 'hearing', 'news', 'about', 'natural', 'disaster']","['heartbroken', 'after', 'hear', 'news', 'about', 'natur', 'disast']",0.1,Positive
The state of the world's environment is just disgusting.,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,#Disgust #Environment,18.0,35.0,UK,2023,2,12,18,the state of the world s environment is just disgusting,"['state', 'world', 'environment', 'disgusting']","['state', 'world', 'environ', 'disgust']",-1.0,Negative
Pure happiness: celebrating a loved one's achievement!,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,#Happiness #Celebration,30.0,60.0,USA,2023,2,13,10,pure happiness celebrating a loved one s achievement,"['pure', 'happiness', 'celebrating', 'loved', 'one', 'achievement']","['pure', 'happi', 'celebr', 'love', 'one', 'achiev']",0.5380952380952381,Positive
Laughter is the best medicine—enjoying a comedy show.,Joy,2023-02-13 19:30:00,ComedyFan,Facebook,#Joy #ComedyShow,22.0,45.0,Canada,2023,2,13,19,laughter is the best medicine enjoying a comedy show,"['laughter', 'best', 'medicine', 'enjoying', 'comedy', 'show']","['laughter', 'best', 'medicin', 'enjoy', 'comedi', 'show']",0.75,Positive
Sharing love and positive vibes with everyone! ❤️,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,14,8,sharing love and positive vibes with everyone,"['sharing', 'love', 'positive', 'vibes', 'everyone']","['share', 'love', 'posit', 'vibe', 'everyon']",0.36363636363636365,Positive
An amusing incident brightened up my day!,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,#Amusement #FunTimes,18.0,35.0,UK,2023,2,14,14,an amusing incident brightened up my day,"['amusing', 'incident', 'brightened', 'day']","['amus', 'incid', 'brighten', 'day']",0.6,Positive
Enjoying a quiet evening with a book and some tea.,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook,#Enjoyment #BookTime,25.0,50.0,Canada,2023,2,14,19,enjoying a quiet evening with a book and some tea,"['enjoying', 'quiet', 'evening', 'book', 'some', 'tea']","['enjoy', 'quiet', 'even', 'book', 'some', 'tea']",0.25,Positive
Admiring the beauty of nature during a peaceful hike.,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter,#Admiration #Nature,20.0,40.0,USA,2023,2,15,11,admiring the beauty of nature during a peaceful hike,"['admiring', 'beauty', 'nature', 'during', 'peaceful', 'hike']","['admir', 'beauti', 'natur', 'dure', 'peac', 'hike']",0.25,Positive
Sending affectionate vibes to all my followers!,Affection,2023-02-15 16:00:00,AffectionSender,Instagram,#Affection #PositiveVibes,15.0,30.0,USA,2023,2,15,16,sending affectionate vibes to all my followers,"['sending', 'affectionate', 'vibes', 'all', 'followers']","['send', 'affection', 'vibe', 'all', 'follow']",0.0,Neutral
Experiencing awe at the breathtaking sunset.,Awe,2023-02-15 20:30:00,AweStruck,Facebook,#Awe #Breathtaking,22.0,45.0,Australia,2023,2,15,20,experiencing awe at the breathtaking sunset,"['experiencing', 'awe', 'breathtaking', 'sunset']","['experienc', 'awe', 'breathtak', 'sunset']",1.0,Positive
Disappointed with the service at a local restaurant.,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18.0,35.0,India,2023,2,16,9,disappointed with the service at a local restaurant,"['disappointed', 'service', 'local', 'restaurant']","['disappoint', 'servic', 'local', 'restaur']",-0.375,Negative
A surprise gift from a friend made my day!,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram,#Surprise #Gift,25.0,50.0,USA,2023,2,16,14,a surprise gift from a friend made my day,"['surprise', 'gift', 'friend', 'made', 'day']","['surpris', 'gift', 'friend', 'made', 'day']",0.0,Neutral
Finding acceptance in the midst of life's challenges.,Acceptance,2023-02-16 18:20:00,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15.0,30.0,Canada,2023,2,16,18,finding acceptance in the midst of life s challenges,"['finding', 'acceptance', 'midst', 'life', 'challenges']","['find', 'accept', 'midst', 'life', 'challeng']",0.0,Neutral
Overflowing with adoration for my adorable pet! 🐾,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,#Adoration #PetLove,22.0,45.0,UK,2023,2,17,10,overflowing with adoration for my adorable pet,"['overflowing', 'adoration', 'adorable', 'pet']","['overflow', 'ador', 'ador', 'pet']",0.5,Positive
Anticipating a thrilling adventure in the coming weeks.,Anticipation,2023-02-17 07:30:00,AdventureAwaits,Instagram,#Anticipation #Adventure,20.0,40.0,USA,2023,2,17,7,anticipating a thrilling adventure in the coming weeks,"['anticipating', 'thrilling', 'adventure', 'coming', 'weeks']","['anticip', 'thrill', 'adventur', 'come', 'week']",0.25,Positive
A bitter experience turned into a valuable lesson.,Bitter,2023-02-17 15:00:00,LearnFromBitter,Facebook,#BitterLesson #Growth,18.0,35.0,USA,2023,2,17,15,a bitter experience turned into a valuable lesson,"['bitter', 'experience', 'turned', 'into', 'valuable', 'lesson']","['bitter', 'experi', 'turn', 'into', 'valuabl', 'lesson']",-0.1,Negative
Finding calmness in the midst of a busy day.,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter,#Calmness #PeacefulMind,15.0,30.0,India,2023,2,18,9,finding calmness in the midst of a busy day,"['finding', 'calmness', 'midst', 'busy', 'day']","['find', 'calm', 'midst', 'busi', 'day']",0.1,Positive
Confusion clouds my mind as I navigate through decisions.,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,#Confusion #DecisionMaking,25.0,50.0,UK,2023,2,18,14,confusion clouds my mind as i navigate through decisions,"['confusion', 'clouds', 'mind', 'navigate', 'through', 'decisions']","['confus', 'cloud', 'mind', 'navig', 'through', 'decis']",0.0,Neutral
Excitement building up for the upcoming vacation!,Excitement,2023-02-18 18:45:00,VacationDreamer,Facebook,#Excitement #TravelPlans,22.0,45.0,Canada,2023,2,18,18,excitement building up for the upcoming vacation,"['excitement', 'building', 'upcoming', 'vacation']","['excit', 'build', 'upcom', 'vacat']",0.0,Neutral
Kindness witnessed today restored my faith in humanity.,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter,#Kindness #Humanity,20.0,40.0,USA,2023,2,19,11,kindness witnessed today restored my faith in humanity,"['kindness', 'witnessed', 'today', 'restored', 'faith', 'humanity']","['kind', 'wit', 'today', 'restor', 'faith', 'human']",0.0,Neutral
Pride in achieving a personal milestone.,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,#Pride #Milestone,30.0,60.0,Australia,2023,2,19,16,pride in achieving a personal milestone,"['pride', 'achieving', 'personal', 'milestone']","['pride', 'achiev', 'person', 'mileston']",0.0,Neutral
A moment of shame for not standing up against injustice.,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook,#Shame #Injustice,15.0,30.0,India,2023,2,19,19,a moment of shame for not standing up against injustice,"['moment', 'shame', 'standing', 'against', 'injustice']","['moment', 'shame', 'stand', 'against', 'injustic']",0.0,Neutral
Fuming with anger after a heated argument.,Anger,2023-02-20 09:30:00,AngryDebater,Twitter,#Anger #Argument,20.0,40.0,Canada,2023,2,20,9,fuming with anger after a heated argument,"['fuming', 'anger', 'after', 'heated', 'argument']","['fume', 'anger', 'after', 'heat', 'argument']",-0.7,Negative
The fear of the unknown is keeping me up at night.,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram,#Fear #Unknown,15.0,30.0,USA,2023,2,20,21,the fear of the unknown is keeping me up at night,"['fear', 'unknown', 'keeping', 'night']","['fear', 'unknown', 'keep', 'night']",-0.1,Negative
Heartfelt sadness after bidding farewell to a dear friend.,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook,#Sadness #Farewell,25.0,50.0,India,2023,2,21,14,heartfelt sadness after bidding farewell to a dear friend,"['heartfelt', 'sadness', 'after', 'bidding', 'farewell', 'dear', 'friend']","['heartfelt', 'sad', 'after', 'bid', 'farewel', 'dear', 'friend']",0.0,Neutral
The state of corruption in our society is utterly disgusting.,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,#Disgust #Corruption,18.0,35.0,UK,2023,2,21,18,the state of corruption in our society is utterly disgusting,"['state', 'corruption', 'society', 'utterly', 'disgusting']","['state', 'corrupt', 'societi', 'utterli', 'disgust']",-1.0,Negative
Overflowing happiness: welcoming a new family member!,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30.0,60.0,UK,2023,2,22,10,overflowing happiness welcoming a new family member,"['overflowing', 'happiness', 'welcoming', 'new', 'family', 'member']","['overflow', 'happi', 'welcom', 'new', 'famili', 'member']",0.41818181818181815,Positive
Laughter is the key to joy—attending a stand-up comedy show.,Joy,2023-02-22 19:30:00,StandUpFan,Facebook,#Joy #StandUpComedy,22.0,45.0,Canada,2023,2,22,19,laughter is the key to joy attending a stand up comedy show,"['laughter', 'key', 'joy', 'attending', 'stand', 'comedy', 'show']","['laughter', 'key', 'joy', 'attend', 'stand', 'comedi', 'show']",0.4,Positive
Sending love to all my followers on this beautiful day! ❤️,Love,2023-02-23 08:30:00,LoveSender,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,23,8,sending love to all my followers on this beautiful day,"['sending', 'love', 'all', 'followers', 'beautiful', 'day']","['send', 'love', 'all', 'follow', 'beauti', 'day']",0.675,Positive
Amused by the antics of my pet—it's pure amusement!,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,#Amusement #PetAntics,18.0,35.0,UK,2023,2,23,14,amused by the antics of my pet it s pure amusement,"['amused', 'antics', 'pet', 'pure', 'amusement']","['amus', 'antic', 'pet', 'pure', 'amus']",0.21428571428571427,Positive
Enjoying every moment of this trip—pure enjoyment!,Enjoyment,2023-02-23 19:45:00,TravelExplorer,Facebook,#Enjoyment #Travel,25.0,50.0,USA,2023,2,23,19,enjoying every moment of this trip pure enjoyment,"['enjoying', 'every', 'moment', 'trip', 'pure', 'enjoyment']","['enjoy', 'everi', 'moment', 'trip', 'pure', 'enjoy']",0.35714285714285715,Positive
Admiring the dedication of volunteers at a local charity.,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter,#Admiration #Volunteers,20.0,40.0,USA,2023,2,24,11,admiring the dedication of volunteers at a local charity,"['admiring', 'dedication', 'volunteers', 'local', 'charity']","['admir', 'dedic', 'volunt', 'local', 'chariti']",0.0,Neutral
Sending affectionate vibes to friends and family.,Affection,2023-02-24 16:00:00,FamilyLover,Instagram,#Affection #FamilyLove,15.0,30.0,USA,2023,2,24,16,sending affectionate vibes to friends and family,"['sending', 'affectionate', 'vibes', 'friends', 'family']","['send', 'affection', 'vibe', 'friend', 'famili']",0.0,Neutral
Awe-struck by the beauty of the night sky.,Awe,2023-02-24 20:30:00,Stargazer,Facebook,#Awe #StarryNight,22.0,45.0,Australia,2023,2,24,20,awe struck by the beauty of the night sky,"['awe', 'struck', 'beauty', 'night', 'sky']","['awe', 'struck', 'beauti', 'night', 'sky']",0.0,Neutral
Disappointed with the lack of progress in a personal project.,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter,#Disappointed #Project,18.0,35.0,India,2023,2,25,9,disappointed with the lack of progress in a personal project,"['disappointed', 'lack', 'progress', 'personal', 'project']","['disappoint', 'lack', 'progress', 'person', 'project']",-0.375,Negative
A surprise visit from an old friend brought tears of joy.,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram,#Surprise #OldFriends,25.0,50.0,USA,2023,2,25,14,a surprise visit from an old friend brought tears of joy,"['surprise', 'visit', 'old', 'friend', 'brought', 'tears', 'joy']","['surpris', 'visit', 'old', 'friend', 'brought', 'tear', 'joy']",0.45,Positive
